77,8,28,59,69,30,57,6,73,41,51,20,24,37,46,72,10,40,74,48
31,7,21,43,35,6,27,9,23,41,18,66,38,58,1,56,63,16,68,30
52,17,39,8,15,9,47,10,23,20,68,50,24,59,64,31,70,29,42,35
58,54,43,6,45,69,65,8,37,49,4,14,44,3,5,20,41,51,66,38
13,36,18,5,50,21,3,14,77,66,75,38,76,45,19,43,39,68,80,28
49,5,43,28,3,76,6,70,33,13,62,17,27,36,38,24,35,80,19,39
22,59,9,75,29,13,48,44,32,30,70,67,42,77,63,36,71,4,60,31
34,59,17,46,27,10,52,18,48,35,51,69,55,26,66,13,58,19,78,75
71,18,31,33,6,73,26,42,57,5,37,60,13,63,39,48,16,77,66,38
54,77,59,35,11,17,21,13,15,51,23,79,48,26,68,41,40,44,34,22
51,63,6,62,52,60,61,32,29,75,45,19,15,72,67,40,47,28,37,49
37,1,40,43,17,6,25,74,77,9,26,29,41,5,47,22,14,39,15,30
34,67,39,35,75,56,66,18,12,3,53,80,16,20,78,28,59,74,45,5
51,76,64,41,79,47,67,4,1,73,75,61,54,56,18,36,53,71,11,52
70,2,77,41,11,48,55,53,5,18,13,27,12,19,15,80,4,65,20,26
28,27,30,22,59,66,2,40,31,71,67,60,70,4,26,79,69,48,5,76
78,10,68,39,49,59,67,17,6,47,51,27,55,8,54,61,74,26,18,2
53,13,22,50,35,77,58,12,59,10,33,15,49,36,9,31,7,18,30,44
2,53,69,23,36,44,67,37,16,3,64,66,52,54,70,50,12,18,9,30
12,31,77,15,61,75,66,7,50,27,74,16,35,17,28,59,71,20,13,57
12,49,18,2,36,69,16,26,78,52,5,79,47,70,8,74,43,72,63,75
80,10,25,19,26,46,1,16,64,63,34,7,69,57,53,33,17,78,73,54
16,39,62,1,11,40,27,78,32,64,56,52,30,9,45,22,50,4,19,51
70,4,26,52,61,71,53,34,16,7,22,79,30,8,66,5,10,60,45,62
40,63,39,71,44,23,4,62,36,21,64,26,3,38,2,53,78,74,43,50
29,19,18,16,20,46,27,42,45,25,71,65,48,3,40,53,78,75,31,2
1,66,6,3,61,5,53,64,76,13,45,79,30,69,48,11,29,44,23,43
61,1,33,32,73,18,23,25,2,5,41,65,67,34,29,14,3,28,13,15
41,37,11,36,35,78,24,3,47,69,32,71,5,50,22,12,27,54,10,2
20,31,38,10,53,75,49,14,29,76,54,78,18,44,64,15,70,2,72,25
9,80,58,20,40,62,10,26,35,45,78,46,25,5,15,18,16,24,42,23
64,66,44,79,58,14,28,34,46,63,39,13,5,19,7,53,52,47,70,27
60,38,51,59,57,42,36,64,22,43,73,65,26,49,32,68,80,35,28,14
2,29,60,76,80,11,73,43,30,4,41,61,49,47,34,63,75,19,66,26
12,43,71,22,78,25,58,29,7,21,48,55,20,75,9,11,34,8,80,14
4,76,46,3,32,41,1,59,15,36,9,28,30,13,2,56,29,33,35,72
55,11,48,60,54,73,30,39,19,31,1,69,29,16,21,36,33,25,71,42
72,49,1,14,26,48,57,24,34,9,22,67,46,79,59,37,43,28,18,77
1,66,37,17,5,25,65,12,16,59,18,76,48,7,10,60,58,22,57,74
71,66,17,59,77,47,21,23,7,49,65,40,33,9,26,72,27,37,11,68
80,56,71,48,4,18,63,9,22,5,23,1,19,59,13,57,35,44,45,12
27,9,41,52,14,33,7,76,2,36,64,19,32,34,54,62,48,18,6,37
38,1,27,28,30,33,14,34,47,7,70,42,48,54,31,52,21,74,26,66
53,29,48,31,79,23,75,13,39,10,55,42,33,28,2,62,80,37,3,58
59,9,61,6,51,55,68,10,30,46,71,24,77,47,25,57,80,13,39,67
42,67,63,45,4,69,39,28,74,47,62,20,46,51,64,13,50,3,32,65
77,45,20,12,36,72,61,46,59,32,6,17,58,38,74,10,53,49,42,22
9,32,42,1,44,54,55,40,56,70,39,35,8,79,10,4,60,24,7,74
28,14,11,66,9,47,72,5,54,50,70,42,74,43,18,21,12,77,30,73
13,16,15,23,14,36,34,45,21,2,38,43,25,37,60,8,72,17,51,19
14,19,9,12,50,58,64,74,77,31,20,53,43,38,52,61,65,67,22,33
63,54,48,64,67,78,79,27,69,7,39,8,59,22,60,49,12,14,18,71
17,2,76,47,75,32,31,37,26,27,49,53,52,16,29,6,8,61,15,57
11,3,63,16,10,47,40,34,54,20,75,74,50,65,38,30,78,32,42,71
74,10,78,8,29,19,49,33,46,16,14,4,11,39,60,51,21,6,54,40
21,26,59,63,61,19,25,38,70,37,76,10,30,16,12,80,22,7,73,55
53,49,70,47,33,76,38,22,51,36,59,61,30,12,18,80,40,39,1,19
30,23,58,40,22,67,27,64,5,25,69,10,63,38,8,39,32,31,18,68
60,46,41,23,4,54,16,34,5,32,65,55,9,35,26,52,44,75,12,78
17,39,10,19,11,55,70,6,37,5,71,65,52,79,59,44,53,35,78,7
72,2,71,51,6,67,62,49,78,59,39,17,31,29,36,80,7,25,53,48
12,24,68,77,71,33,80,16,73,58,56,40,69,44,2,19,18,45,31,75
64,47,30,16,1,25,18,43,17,33,20,15,70,9,61,29,24,56,28,37
63,56,12,77,37,22,4,8,58,73,20,43,45,36,3,31,49,27,71,28
73,71,17,41,31,66,76,20,65,57,78,64,35,33,70,40,6,36,15,75
6,23,64,60,67,12,61,46,31,17,74,36,5,26,41,44,25,79,3,53
75,53,10,30,2,7,25,51,11,13,59,62,50,24,37,19,38,69,68,28
73,22,38,25,37,71,63,74,2,41,28,10,72,21,43,29,33,17,16,52
25,57,2,60,31,65,76,78,14,61,53,70,77,49,63,17,71,24,52,55
23,77,29,8,21,4,75,60,71,46,19,38,30,57,9,50,35,34,27,32
8,13,54,35,63,61,28,71,1,25,22,58,76,23,51,44,7,62,67,55
74,16,53,19,17,39,44,11,51,41,49,25,31,35,20,28,14,40,78,15
62,37,30,73,31,59,25,9,56,70,11,64,20,7,78,4,75,43,19,22
72,4,50,48,75,67,64,14,30,53,25,27,68,51,54,38,19,65,7,63
24,77,48,76,63,9,70,57,11,38,29,13,51,31,72,4,20,21,7,35
66,29,59,73,8,10,9,74,36,7,49,17,65,42,13,79,46,57,3,78
71,70,23,25,43,35,75,5,27,17,33,21,24,49,26,76,55,54,62,34
30,69,63,52,18,62,29,26,78,10,23,43,61,55,31,74,35,41,28,3
44,80,24,31,9,1,35,40,53,20,21,43,52,32,70,56,15,22,57,49
19,20,63,74,45,44,35,72,59,62,29,61,8,47,58,2,12,34,76,31
77,56,35,66,10,59,20,76,36,16,64,67,14,9,30,72,63,75,17,52
29,24,37,12,78,27,77,64,59,66,70,39,16,74,38,67,32,47,56,31
64,15,73,51,71,54,67,38,37,9,44,17,2,39,48,58,77,13,26,30
34,1,39,73,4,66,30,72,18,42,52,22,78,80,14,54,25,53,24,23
22,67,60,51,36,62,27,53,25,48,8,74,61,9,70,12,44,26,58,80
25,43,49,77,21,75,12,30,56,65,48,64,9,24,78,4,63,45,23,19
